1001,iPhone 12,A great all-round phone from Apple,1000,20
1002,Samsung S10,Samsung Galaxy flagship model,500,40
1003,Samsung S22,A top tier smartphone from Samsung,800,30
1004,Redmi Note 9 Pro,A good budget phone from Xiaomi,400,15
1005,Huawei P30,A touchscreen phone from Huawei,300,10
1006,iPhone 13 ,The best Apple iPhone bang for your buck,1200,25
1007,Samsung Galaxy S21 Ultra,The second best Samsung phone,700,26
1008,OnePlus 9 Pro,A giant leap for OnePlus photography,500,33
1009,Xiaomi Mi 11,Xiaomi's 2021 flagship,350,17
1010,Google Pixel 6,The best phone for pure Android,550,45
